SetEntrenamiento,SetTesting,Resultados,Método,Vecinos,Numero de iteraciones,Alfa,Epsilon,Tiempo
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-501-vecinos-resultados.csv,0,501,0,0,0,22324.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-551-vecinos-resultados.csv,0,551,0,0,0,22996.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-601-vecinos-resultados.csv,0,601,0,0,0,23713.4
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-651-vecinos-resultados.csv,0,651,0,0,0,24416.9
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-701-vecinos-resultados.csv,0,701,0,0,0,25111.7
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-751-vecinos-resultados.csv,0,751,0,0,0,25807.7
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-801-vecinos-resultados.csv,0,801,0,0,0,26562.4
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-851-vecinos-resultados.csv,0,851,0,0,0,27255.5
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-901-vecinos-resultados.csv,0,901,0,0,0,28010.1
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-951-vecinos-resultados.csv,0,951,0,0,0,28715.5
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1001-vecinos-resultados.csv,0,1001,0,0,0,29438.6
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1051-vecinos-resultados.csv,0,1051,0,0,0,30136.5
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1101-vecinos-resultados.csv,0,1101,0,0,0,30842.4
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1151-vecinos-resultados.csv,0,1151,0,0,0,31574.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1201-vecinos-resultados.csv,0,1201,0,0,0,32325.8
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1251-vecinos-resultados.csv,0,1251,0,0,0,33016.5
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1301-vecinos-resultados.csv,0,1301,0,0,0,33745.6
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1351-vecinos-resultados.csv,0,1351,0,0,0,34458.8
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1401-vecinos-resultados.csv,0,1401,0,0,0,35229.9
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1451-vecinos-resultados.csv,0,1451,0,0,0,35946.4
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1501-vecinos-resultados.csv,0,1501,0,0,0,36694.1
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1551-vecinos-resultados.csv,0,1551,0,0,0,37424.3
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1601-vecinos-resultados.csv,0,1601,0,0,0,38156.4
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1651-vecinos-resultados.csv,0,1651,0,0,0,38895.3
