SetEntrenamiento,SetTesting,Resultados,Método,Vecinos,Numero de iteraciones,Alfa,Epsilon,Tiempo,Accuracy,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-351-vecinos-resultados.csv,0,351,,,,15589.7,0.76,0.9036,0.5276,0.9912,0.8736,0.8974,0.8231,0.7628,0.8241,0.8561,0.587,0.8599,0.9953,0.5517,0.7755,0.7511,0.6149,0.8079,0.8325,0.5512,0.848
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-401-vecinos-resultados.csv,0,401,,,,16257.4,0.7515,0.8985,0.506,0.9911,0.8713,0.9043,0.8333,0.7594,0.8325,0.8507,0.5787,0.8551,0.9953,0.5468,0.7602,0.7296,0.5747,0.7931,0.8325,0.5561,0.8596
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-451-vecinos-resultados.csv,0,451,,,,17034.8,0.74,0.9031,0.4851,0.9906,0.8614,0.9043,0.8348,0.75,0.8182,0.8485,0.5754,0.8551,1.0,0.5172,0.7296,0.7296,0.5517,0.7833,0.8223,0.5463,0.848
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-501-vecinos-resultados.csv,0,501,,,,17984.4,0.729,0.9026,0.4637,0.9901,0.8688,0.9126,0.8393,0.7406,0.8173,0.8504,0.562,0.8502,1.0,0.4926,0.7092,0.7167,0.5402,0.7734,0.8173,0.5268,0.848
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-551-vecinos-resultados.csv,0,551,,,,18833.8,0.7135,0.8923,0.4442,0.9794,0.8506,0.9162,0.8426,0.7308,0.8141,0.824,0.5538,0.8406,1.0,0.468,0.6684,0.7039,0.523,0.7488,0.8223,0.5024,0.8421
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-601-vecinos-resultados.csv,0,601,,,,19678.3,0.702,0.8969,0.4306,0.9792,0.8366,0.8989,0.84,0.7268,0.809,0.8197,0.5437,0.8406,1.0,0.4631,0.6531,0.6867,0.4828,0.734,0.8173,0.4878,0.8363
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-651-vecinos-resultados.csv,0,651,,,,20570.6,0.6945,0.9005,0.4195,0.9785,0.8299,0.8927,0.8586,0.7268,0.805,0.8182,0.5341,0.8309,1.0,0.4483,0.6224,0.6781,0.4885,0.734,0.8173,0.4829,0.8246
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-701-vecinos-resultados.csv,0,701,,,,21522.0,0.688,0.8953,0.4081,0.9785,0.8194,0.8966,0.8632,0.7228,0.8173,0.8235,0.5299,0.8261,1.0,0.4483,0.602,0.6695,0.4713,0.7192,0.8173,0.478,0.8304
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-751-vecinos-resultados.csv,0,751,,,,22324.8,0.679,0.8942,0.3981,0.978,0.8129,0.9006,0.871,0.7094,0.8141,0.8158,0.524,0.8164,1.0,0.4384,0.5765,0.6609,0.4655,0.7094,0.8223,0.4537,0.8304
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-801-vecinos-resultados.csv,0,801,,,,23357.3,0.673,0.8936,0.3915,0.967,0.7986,0.9006,0.8681,0.7059,0.8071,0.8198,0.5242,0.8116,1.0,0.4335,0.5663,0.6609,0.454,0.7094,0.8071,0.4439,0.8246
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-851-vecinos-resultados.csv,0,851,,,,24239.0,0.6675,0.8889,0.3843,0.967,0.7929,0.8947,0.8736,0.7015,0.8187,0.8091,0.5204,0.8116,1.0,0.4335,0.5663,0.6567,0.4368,0.6946,0.802,0.4341,0.8187
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-901-vecinos-resultados.csv,0,901,,,,25138.9,0.662,0.8789,0.3781,0.9663,0.7887,0.8935,0.8721,0.7005,0.822,0.8131,0.5166,0.8068,1.0,0.4236,0.5714,0.6481,0.431,0.6798,0.797,0.4244,0.8187
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-951-vecinos-resultados.csv,0,951,,,,26104.7,0.654,0.8783,0.3695,0.9773,0.7801,0.8909,0.8675,0.6974,0.8272,0.8119,0.5072,0.8019,1.0,0.4236,0.5612,0.6309,0.4138,0.67,0.802,0.4,0.8187
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1001-vecinos-resultados.csv,0,1001,,,,27100.0,0.646,0.8877,0.3632,0.9651,0.7794,0.8896,0.8537,0.6888,0.8298,0.7921,0.5,0.8019,1.0,0.4089,0.5408,0.6223,0.4023,0.665,0.7919,0.3902,0.8187
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1-vecinos-resultados.csv,0,1,,,,171716.0,0.9272619047619048,0.9478,0.9406,0.9622,0.9592,0.892,0.8909,0.9435,0.8936,0.9395,0.8991,0.9667,0.9074,0.9207,0.9134,0.9441,0.9341,0.9613,0.9557,0.8826,0.8846
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-51-vecinos-resultados.csv,0,51,,,,173395.0,0.9089285714285714,0.9168,0.8491,0.9787,0.9628,0.9408,0.8886,0.8915,0.885,0.9414,0.8631,0.9412,0.968,0.8578,0.8912,0.9288,0.9125,0.9448,0.9305,0.8146,0.8921
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-101-vecinos-resultados.csv,0,101,,,,10705.4,0.8465,0.8378,0.7435,0.9496,0.8812,0.9318,0.8689,0.8136,0.875,0.8926,0.7883,0.8757,0.9871,0.6947,0.8091,0.8817,0.8325,0.8995,0.9175,0.665,0.8794
